62101 Verkauf (ohne Produktspezialis.)-Helfer;30642;2070,735584;2391,431615;2857,427711;62101;Verkauf (ohne Produktspezialis.)-Helfer;15
62102 Verkauf (ohne Produktspezial.)-Fachkraft;277054;2264,815241;2728,469851;3418,261131;62102;Verkauf (ohne Produktspezial.)-Fachkraft;16
62103 Verkauf (ohne Produktspez.) - Spezialist;10787;3159,502591;3724,767399;4527,73029;62103;Verkauf (ohne Produktspez.) - Spezialist;17
62194 Führung - Verkauf;80817;3476,304392;4543,059153;6223,18931;62194;FÃ¼hrung - Verkauf;18
62301 Verkauf Lebensmittel (o.S.) - Helfer;6827;1795,173913;2174,138132;2579,616766;62301;Verkauf Lebensmittel (o.S.) - Helfer;19
62312 Verkauf Back-,Konditoreiwaren-Fachkraft;56271;1992,221082;2266,458781;2563,994236;62312;Verkauf Back-,Konditoreiwaren-Fachkraft;20
62322 Verkauf von Fleischwaren - Fachkraft;27140;2101,419305;2428,237557;2828,791536;62322;Verkauf von Fleischwaren - Fachkraft;21
63221 Hotelservice - Helfer;30525;2124,689973;2374,255411;2727,551192;63221;Hotelservice - Helfer;22
63222 Hotelservice - Fachkraft;43293;2362,527244;2677,766446;3054,054054;63222;Hotelservice - Fachkraft;23
63301 Gastronomieservice (o.S.) - Helfer;92456;2050,731725;2305,624044;2629,813068;63301;Gastronomieservice (o.S.) - Helfer;24
63302 Gastronomieservice (o.S.) - Fachkraft;73934;2083,736273;2414,89781;2828,037313;63302;Gastronomieservice (o.S.) - Fachkraft;25
71104 Geschäftsführer und Vorstände - Experte;200807;5042,206963;> 7.100;> 7.100;71104;GeschÃ¤ftsfÃ¼hrer und VorstÃ¤nde - Experte;26
71224 Leit. Bedienstete Interessenorga-Experte;4836;5794,892523;6718,978261;> 7.100;71224;Leit. Bedienstete Interessenorga-Experte;27
71234 Betriebsinterne Wahlämter - Experte;7637;4657,705882;5726,461538;7011,591549;71234;Betriebsinterne WahlÃ¤mter - Experte;28
71302 Kaufm.,techn.Betriebswirt.(oS)-Fachkraft;589924;3313,43815;4206,662387;5543,226571;71302;Kaufm.,techn.Betriebswirt.(oS)-Fachkraft;29
71303 Kaufm.,tech.Betriebswirt.(oS)-Spezialist;40294;4186,925061;5412,942922;6885,377622;71303;Kaufm.,tech.Betriebswirt.(oS)-Spezialist;30
71324 Unternehmensberatung - Experte;111731;4957,51244;6536,766447;> 7.100;71324;Unternehmensberatung - Experte;1
71382 Unternehmensorg.,strateg.(ssT)-Fachkraft;1043;3772,615385;4799,184211;6763;71382;Unternehmensorg.,strateg.(ssT)-Fachkraft;2
71393 Aufsicht - Unternehmensorg.,-strategie;297432;4663,306874;6095,309619;> 7.100;71393;Aufsicht - Unternehmensorg.,-strategie;3
71394 Führung - Unternehmensorg., -strategie;192675;5698,145112;> 7.100;> 7.100;71394;FÃ¼hrung - Unternehmensorg., -strategie;4
71401 Büro-, Sekretariatskräfte(o.S.) - Helfer;82568;2233,84399;3025,837331;3950,873134;71401;BÃ¼ro-, SekretariatskrÃ¤fte(o.S.) - Helfer;5
71402 Büro-,Sekretariatskräfte(o.S.)-Fachkraft;878385;2844,51869;3626,789168;4724,867769;71402;BÃ¼ro-,SekretariatskrÃ¤fte(o.S.)-Fachkraft;6
71403 Büro-,Sekretariatskräfte(oS) -Spezialist;70076;3424,356975;4425,371465;5812,97619;71403;BÃ¼ro-,SekretariatskrÃ¤fte(oS) -Spezialist;7
72112 Bankkaufleute - Fachkraft;230087;4191,992016;5355,520202;6651,282678;72112;Bankkaufleute - Fachkraft;8
72122 Anlageberater, Finanzdienstl.-Fachkraft;4449;3541,888889;4711,706897;6221,223684;72122;Anlageberater, Finanzdienstl.-Fachkraft;9
72123 Anlageberater, Finanzdienstl.-Spezialist;12089;5019,880734;6568,131579;> 7.100;72123;Anlageberater, Finanzdienstl.-Spezialist;10
72124 Anlageberater, Finanzdienstl.-Experte;16741;5294,505102;6789,809211;> 7.100;72124;Anlageberater, Finanzdienstl.-Experte;11
72132 Versicherungskaufleute - Fachkraft;92835;4023,483871;5145,949078;6238,100671;72132;Versicherungskaufleute - Fachkraft;12
72133 Versicherungskaufleute - Spezialist;31212;4162,336735;5634,091331;6995,420635;72133;Versicherungskaufleute - Spezialist;13
72144 Finanzanalysten/innen - Experte;24100;4989,203704;6374,288546;> 7.100;72144;Finanzanalysten/innen - Experte;14
72194 Führung-Versicherung-,Finanzdienstleist.;15851;5574,342593;> 7.100;> 7.100;72194;FÃ¼hrung-Versicherung-,Finanzdienstleist.;15
72212 Buchhaltung - Fachkraft;27973;3065,300242;3815,622768;4857,170168;72212;Buchhaltung - Fachkraft;16
72213 Buchhaltung - Spezialist;149857;3288,011096;4080,377463;5195,555898;72213;Buchhaltung - Spezialist;17
72234 Controlling - Experte;66873;4844,722689;6151,968121;> 7.100;72234;Controlling - Experte;18
72294 Führung-Rechnungsw.,Controlling,Revision;23402;6302,935065;> 7.100;> 7.100;72294;FÃ¼hrung-Rechnungsw.,Controlling,Revision;19
72302 Steuerberatung - Fachkraft;71440;2684,23768;3284,687158;4050,343424;72302;Steuerberatung - Fachkraft;20
72303 Steuerberatung - Spezialist;20896;3514,513841;4281,529412;5308,676101;72303;Steuerberatung - Spezialist;21
73201 Öffentliche Verwaltung (o.S.) - Helfer;11388;2947,189895;3345,456772;3782,615385;73201;Ã–ffentliche Verwaltung (o.S.) - Helfer;22
73202 Öffentliche Verwaltung(o.S.) - Fachkraft;264562;3440,645959;3872,955562;4616,257424;73202;Ã–ffentliche Verwaltung(o.S.) - Fachkraft;23
